Activation,Size (B),Last Fwd Use,First Bwd Use,Idle Gap,Recomp Ops,Recomp (ms)
convolution,205520896,cudnn_batch_norm,cudnn_batch_norm_backward_154,2595,0,0.0000
relu_,205520896,max_pool2d_with_indices,max_pool2d_with_indices_backward,2587,2,2.7385
convolution_1,51380224,cudnn_batch_norm_1,cudnn_batch_norm_backward_153,2574,0,0.0000
relu__1,51380224,convolution_2,convolution_backward_152,2564,2,0.6462
convolution_2,51380224,cudnn_batch_norm_2,cudnn_batch_norm_backward_152,2558,0,0.0000
relu__2,51380224,convolution_3,convolution_backward_151,2548,2,0.6441
convolution_3,205520896,cudnn_batch_norm_3,cudnn_batch_norm_backward_151,2542,0,0.0000
getitem_4,51380224,convolution_4,convolution_backward_150,2534,1,1.6698
convolution_4,205520896,cudnn_batch_norm_4,cudnn_batch_norm_backward_150,2528,0,0.0000
convolution_5,51380224,cudnn_batch_norm_5,cudnn_batch_norm_backward_149,2510,0,0.0000
relu__4,51380224,convolution_6,convolution_backward_148,2500,2,0.6252
convolution_6,51380224,cudnn_batch_norm_6,cudnn_batch_norm_backward_148,2494,0,0.0000
relu__3,205520896,add__9,convolution_backward_149,2493,5,8.2103
relu__5,51380224,convolution_7,convolution_backward_147,2484,2,0.6287
convolution_7,205520896,cudnn_batch_norm_7,cudnn_batch_norm_backward_147,2478,0,0.0000
convolution_8,51380224,cudnn_batch_norm_8,cudnn_batch_norm_backward_146,2460,0,0.0000
relu__7,51380224,convolution_9,convolution_backward_145,2450,2,0.6239
convolution_9,51380224,cudnn_batch_norm_9,cudnn_batch_norm_backward_145,2444,0,0.0000
relu__6,205520896,add__13,convolution_backward_146,2443,3,5.4159
relu__8,51380224,convolution_10,convolution_backward_144,2434,2,0.6401
convolution_10,205520896,cudnn_batch_norm_10,cudnn_batch_norm_backward_144,2428,0,0.0000
convolution_11,102760448,cudnn_batch_norm_11,cudnn_batch_norm_backward_143,2410,0,0.0000
relu__10,102760448,convolution_12,convolution_backward_142,2400,2,1.3613
convolution_12,25690112,cudnn_batch_norm_12,cudnn_batch_norm_backward_142,2394,0,0.0000
relu__11,25690112,convolution_13,convolution_backward_141,2384,2,0.2089
convolution_13,102760448,cudnn_batch_norm_13,cudnn_batch_norm_backward_141,2378,0,0.0000
relu__9,205520896,convolution_14,convolution_backward_140,2370,3,5.4141
convolution_14,102760448,cudnn_batch_norm_14,cudnn_batch_norm_backward_140,2364,0,0.0000
convolution_15,25690112,cudnn_batch_norm_15,cudnn_batch_norm_backward_139,2346,0,0.0000
relu__13,25690112,convolution_16,convolution_backward_138,2336,2,0.2136
convolution_16,25690112,cudnn_batch_norm_16,cudnn_batch_norm_backward_138,2330,0,0.0000
relu__12,102760448,add__22,convolution_backward_139,2329,5,3.8202
relu__14,25690112,convolution_17,convolution_backward_137,2320,2,0.1983
convolution_17,102760448,cudnn_batch_norm_17,cudnn_batch_norm_backward_137,2314,0,0.0000
convolution_18,25690112,cudnn_batch_norm_18,cudnn_batch_norm_backward_136,2296,0,0.0000
relu__16,25690112,convolution_19,convolution_backward_135,2286,2,0.2167
convolution_19,25690112,cudnn_batch_norm_19,cudnn_batch_norm_backward_135,2280,0,0.0000
relu__15,102760448,add__26,convolution_backward_136,2279,3,2.6044
relu__17,25690112,convolution_20,convolution_backward_134,2270,2,0.1921
convolution_20,102760448,cudnn_batch_norm_20,cudnn_batch_norm_backward_134,2264,0,0.0000
convolution_21,25690112,cudnn_batch_norm_21,cudnn_batch_norm_backward_133,2246,0,0.0000
relu__19,25690112,convolution_22,convolution_backward_132,2236,2,0.2168
convolution_22,25690112,cudnn_batch_norm_22,cudnn_batch_norm_backward_132,2230,0,0.0000
relu__18,102760448,add__30,convolution_backward_133,2229,3,2.5972
relu__20,25690112,convolution_23,convolution_backward_131,2220,2,0.1949
convolution_23,102760448,cudnn_batch_norm_23,cudnn_batch_norm_backward_131,2214,0,0.0000
convolution_24,25690112,cudnn_batch_norm_24,cudnn_batch_norm_backward_130,2196,0,0.0000
relu__22,25690112,convolution_25,convolution_backward_129,2186,2,0.2150
convolution_25,25690112,cudnn_batch_norm_25,cudnn_batch_norm_backward_129,2180,0,0.0000
relu__21,102760448,add__34,convolution_backward_130,2179,3,2.6229
relu__23,25690112,convolution_26,convolution_backward_128,2170,2,0.1922
convolution_26,102760448,cudnn_batch_norm_26,cudnn_batch_norm_backward_128,2164,0,0.0000
convolution_27,25690112,cudnn_batch_norm_27,cudnn_batch_norm_backward_127,2146,0,0.0000
relu__25,25690112,convolution_28,convolution_backward_126,2136,2,0.2122
convolution_28,25690112,cudnn_batch_norm_28,cudnn_batch_norm_backward_126,2130,0,0.0000
relu__24,102760448,add__38,convolution_backward_127,2129,3,2.6108
relu__26,25690112,convolution_29,convolution_backward_125,2120,2,0.1902
convolution_29,102760448,cudnn_batch_norm_29,cudnn_batch_norm_backward_125,2114,0,0.0000
convolution_30,25690112,cudnn_batch_norm_30,cudnn_batch_norm_backward_124,2096,0,0.0000
relu__28,25690112,convolution_31,convolution_backward_123,2086,2,0.2167
convolution_31,25690112,cudnn_batch_norm_31,cudnn_batch_norm_backward_123,2080,0,0.0000
relu__27,102760448,add__42,convolution_backward_124,2079,3,2.5975
relu__29,25690112,convolution_32,convolution_backward_122,2070,2,0.2051
convolution_32,102760448,cudnn_batch_norm_32,cudnn_batch_norm_backward_122,2064,0,0.0000
convolution_33,25690112,cudnn_batch_norm_33,cudnn_batch_norm_backward_121,2046,0,0.0000
relu__31,25690112,convolution_34,convolution_backward_120,2036,2,0.2137
convolution_34,25690112,cudnn_batch_norm_34,cudnn_batch_norm_backward_120,2030,0,0.0000
relu__30,102760448,add__46,convolution_backward_121,2029,3,2.5901
relu__32,25690112,convolution_35,convolution_backward_119,2020,2,0.1946
convolution_35,102760448,cudnn_batch_norm_35,cudnn_batch_norm_backward_119,2014,0,0.0000
convolution_36,51380224,cudnn_batch_norm_36,cudnn_batch_norm_backward_118,1996,0,0.0000
relu__34,51380224,convolution_37,convolution_backward_117,1986,2,0.5516
